1,UPK BKAD  KEC. KRESEK,Ds.PATRASANA,JLN. RAYA BALARAJA KP. PALA RT 07/02,13,2018-05-23  10:42:00,2018-05-23  10:42:00,NULL
2,UPK BKAD KEC. CISOKA,Ds. CISOKA,Jl. Raya Cisoka-Tgrks,29,2018-05-23  10:42:00,2018-05-23  10:42:00,NULL
3,UPK BKAD KEC. JAYANTI,,"JL.RAYA SERANG Km33 Prm TAMAN MUTIARA, A1E SUMUR BANDUNG",15,2018-05-23  10:42:00,2018-05-23  10:42:00,NULL
4,UPK BKAD KEC. BALARAJA,Ds.SENTUL,KP. NAGREG RT 04/01,16,2018-05-23  10:42:00,2018-05-23  10:42:00,NULL
5,UPK BKAD KEC. SUKAMULYA,Ds. MERAK,Kp. Merak RT 09/01,14,2018-05-23  10:42:00,2018-05-23  10:42:00,NULL
6,UPK BKAD KEC. TIGARAKSA,Ds. PASIR NANGKA,JL. ARIA SAID NO. 5 KP. GUDANG RT 04/05,27,2018-05-23  10:42:00,2018-05-23  10:42:00,NULL
7,UPK BKAD KEC. JAMBE,Ds. Tipar,Kp. Tipar RT 01/05,26,2018-05-23  10:42:00,2018-05-23  10:42:00,NULL
8,UPK BKAD KEC. SINDANG JAYA,Ds. WANAKERTA,"Prm TALAGA BESTARI, BLOK F RT 01/01",17,2018-05-23  10:42:00,2018-05-23  10:42:00,NULL
9,UPK BKAD KEC. KEMIRI,Ds. KEMIRI,KP. KEMIRI RT 09/03,8,2018-05-23  10:42:00,2018-05-23  10:42:00,NULL
10,UPK BKAD KEC. KRONJO,Ds. PASILIAN,"JL. RAYA KRONJO BLK, PASAR BARU RT 06/03",11,2018-05-23  10:42:00,2018-05-23  10:42:00,NULL
11,UPK BKAD KEC. GUNUNG KALER,Ds. KANDAWATI,JL. SYEKH NAWAWI 20,12,2018-05-23  10:42:00,2018-05-23  10:42:00,NULL
12,UPK BKAD KEC. SUKADIRI,Ds. GINTUNG,"KP. GINTUNG , RT 06/02 ",7,2018-05-23  10:42:00,2018-05-23  10:42:00,NULL
13,UPK BKAD KEC. SEPATAN TIMUR,"Ds.LEBAK WANGI, Ds.LEBAK WANGI",KP.RAWIRU RT 08/07,4,2018-05-23  10:42:00,2018-05-23  10:42:00,NULL
14,UPK BKAD KEC. RAJEG,KEL. SUKATANI,"RUKO PERUM PONDOK SUKATANI, BLOK G 2/10, RT 04/04",6,2018-05-23  10:42:00,2018-05-23  10:42:00,NULL
15,BKM CENGKLONG MAKMUR,Kelurahan Cengklong,Kp.Cengklong RT 17/09,1,2018-05-23  10:42:00,2018-05-23  10:42:00,NULL
16,UPK BKAD KEC. TELUKNAGA,Ds.KP. MELAYU BARAT,JL.TELADAN II RT03/03,2,2018-05-23  10:42:00,2018-05-23  10:42:00,NULL
17,UPK BKAD KEC. SOLEAR,,Ds.Cirendeu RT 03/03,28,2018-05-23  10:42:00,2018-05-23  10:42:00,NULL
18,UPK BKAD KEC. PAKUHAJI,Ds.Kramat,Kp. Gardu RT 02/03,3,2018-05-23  10:42:00,2018-05-23  10:42:00,NULL